SUBSTATION_ID,SUBSTATION_NAME,DISPLAY NAME,CAPACITY,DC CAPACITY,STATE_NAME,ENERGY TYPE,SUBSTATION_TYPE,Band,Tag
SS01046,Turuvanur,Turuvanur_Chitradurga,23.3,23.3,IN_KA,WIND,INTRA_STATE,,
SS01047,Mendhegiri_NALCO,Mendhegiri_NALCO,50.4,50.4,IN_MH,WIND,INTRA_STATE,,
SS01048,Mendhegiri_1,Mendhegiri_1,69.3,69.3,IN_MH,WIND,INTRA_STATE,,
SS01049,MIDJIL,MIDJIL,10,10.15,IN_TG,SOLAR,INTRA_STATE,,
SS01050,Kerehalli,Kerehalli,20,27,IN_KA,SOLAR,INTRA_STATE,,
SS01052,Shikara,Shikara,15,15,IN_GJ,SOLAR,INTRA_STATE,0.07,
SS01053,Medhasan,Medhasan,3,3.08,IN_GJ,SOLAR,INTRA_STATE,0.07,
SS01054,Medhasan_1,Medhasan_1,2,2,IN_GJ,SOLAR,INTRA_STATE,0.07,
SS01055,Eriyodu,Eriyodu,5,6,IN_TN,SOLAR,INTRA_STATE,,
SS01056,Muthuramalingapuram,Muthuramalingapuram,8,9.6,IN_TN,SOLAR,INTRA_STATE,,
SS01057,Villathikulam,Villathikulam,10,12,IN_TN,SOLAR,INTRA_STATE,,
SS01058,GN_patti,GN_patti,12,14.41,IN_TN,SOLAR,INTRA_STATE,,
SS01059,Duraisamipuram,Duraisamipuram,13,15.6,IN_TN,SOLAR,INTRA_STATE,,
SS01065,Satara_Road,Satara_Road,28,28,IN_MH,WIND,INTRA_STATE,,
SS01069,Shivlakha_Iorn_1,Shivlakha_Iorn_1,5,5,IN_GJ,SOLAR,INTRA_STATE,0.07,
SS01071,Kadegaon,Kadegaon,14.8,14.8,IN_MH,WIND,INTRA_STATE,,
SS01072,Tarana_Gala,Tarana_Gala,42,42,IN_GJ,WIND,INTRA_STATE,0.12,
SS01073,Panchpatta,Panchpatta,62.4,62.4,IN_MH,WIND,INTRA_STATE,,
SS01074,Satara_MIDC,Satara_MIDC,62.03,62.03,IN_MH,WIND,INTRA_STATE,,
SS01075,Chattel,Chattel,22,25.04,IN_GJ,SOLAR,INTRA_STATE,0.07,
SS01076,Ujjawala,Ujjawala,20.53,23.06,IN_GJ,SOLAR,INTRA_STATE,0.07,
SS01077,Responsive,Responsive,21.8,25.03,IN_GJ,SOLAR,INTRA_STATE,0.07,
SS01080,Charanka_ZF,Charanka_ZF,5,5,IN_GJ,SOLAR,INTRA_STATE,0.07,
SS01081,Aganwada,Aganwada,14.4,15.84,IN_GJ,SOLAR,INTRA_STATE,0.07,
SS01082,Dunawada,Dunawada,14.4,15.84,IN_GJ,SOLAR,INTRA_STATE,0.07,
SS01083,Khimat,Khimat,24,25,IN_GJ,SOLAR,INTRA_STATE,0.07,
SS01084,Charanka_US,Charanka_US,1.6,2,IN_GJ,SOLAR,INTRA_STATE,0.07,
SS01085,Charanka_Avatar,Charanka_Avatar,4.986,4.986,IN_GJ,SOLAR,INTRA_STATE,0.07,
SS01087,Morgale_Zenith,Morgale_Zenith,2,2.5,IN_MH,SOLAR,INTRA_STATE,,
SS01088,Morgale_Nav,Morgale_Nav,1,1.2,IN_MH,SOLAR,INTRA_STATE,,
SS01089,Morgale_Asian,Morgale_Asian,1,1.2,IN_MH,SOLAR,INTRA_STATE,,
SS01125,Madhavnagar,Madhavnagar,7.5,8,IN_GJ,SOLAR,INTRA_STATE,0.07,
SS01126,Flexirual_Urja,Flexirual_Urja,18,20.434,IN_MH,SOLAR,INTRA_STATE,,
SS01127,Parbhani,Parbhani,36,43.69,IN_MH,SOLAR,INTRA_STATE,,
SS01128,Mahoba_Spinel,Mahoba_Spinel,20,24.13,IN_UP,SOLAR,INTRA_STATE,0.15,Daily
SS01136,Turmamidi,Turmamidi,7,9,IN_TG,SOLAR,INTRA_STATE,,
SS01137,Godavari_Solar,Godavari_Solar,2.5,2.5,IN_AP,SOLAR,INTRA_STATE,,
SS01143,Ankiraddypally_NREDCAP,Ankiraddypally_NREDCAP,2.75,2.75,IN_AP,WIND,INTRA_STATE,,
SS01144,Warora,Warora,5,5.751,IN_MH,SOLAR,INTRA_STATE,,
SS01145,Karya,Karya,20,26,IN_KA,SOLAR,INTRA_STATE,,
SS01146,Chincholi,Chincholi,20,26.6,IN_KA,SOLAR,INTRA_STATE,,
SS01149,BIPL,BIPL,12.6,15.594,IN_PB,SOLAR,INTRA_STATE,,
SS01150,BIDL,BIDL,12.6,15.679,IN_PB,SOLAR,INTRA_STATE,,
SS01151,Golida_GFL,Golida_GFL,52,52,IN_GJ,WIND,INTRA_STATE,0.12,
SS01152,Medha,Medha,7.2,7.2,IN_MH,WIND,INTRA_STATE,,
SS01153,Kundada,Kundada,27.3,27.3,IN_GJ,WIND,INTRA_STATE,0.12,
SS01154,Poovani,Poovani,200,200,IN_TN,WIND,INTER_STATE,,
SS01155,Boha_magnet,Boha_magnet,21.76,26.25,IN_PB,SOLAR,INTRA_STATE,,
SS01156,Boha_Magnet_1,Boha_Magnet_1,21.76,26.25,IN_PB,SOLAR,INTRA_STATE,,
SS01157,Undale,Undale,6,6,IN_MH,WIND,INTRA_STATE,,
SS01159,Bhesada_Greenko,Bhesada_Greenko,39.9,39.9,IN_RJ,WIND,INTRA_STATE,,
SS01160,Pavagada_Fortum_Finsurya,Pavagada_Fortum_Finsurya,100,125,IN_KA,SOLAR,INTER_STATE,,
SS01167,Salehalli,Salehalli,20,28.019,IN_KA,SOLAR,INTRA_STATE,,
SS01174,Mazhai,Mazhai,49.6,49.6,IN_TN,WIND,INTRA_STATE,,
